,y_test,y_test_pred
801,0.1921,0.0729
802,0.1628,0.0761
803,0.1604,0.0753
804,0.1408,0.0665
805,0.1698,0.0688
806,0.1401,0.0551
807,0.1317,0.0553
808,0.1282,0.0576
809,0.1205,0.0459
810,0.1117,0.0486
811,0.1264,0.0591
812,0.1236,0.0586
813,0.1311,0.0623
814,0.1459,0.0673
815,0.1567,0.0653
816,0.1757,0.0786
817,0.1633,0.0864
818,0.109,0.0497
819,0.0959,0.0498
820,0.1095,0.0582
821,0.1192,0.056
822,0.0971,0.0531
823,0.1112,0.0582
824,0.1045,0.0471
825,0.0885,0.0442
826,0.1058,0.0524
827,0.1124,0.0612
828,0.0815,0.0634
829,0.095,0.081
830,0.0761,0.0988
831,0.0847,0.113
832,0.0635,0.123
833,0.0493,0.1175
834,0.0615,0.1309
835,0.0653,0.1609
836,0.0719,0.1877
837,0.0671,0.2166
838,0.0809,0.232
839,0.0815,0.2336
840,0.0847,0.2553
841,0.1032,0.2818
842,0.1126,0.2847
843,0.2457,0.3104
844,0.1748,0.3028
845,0.1817,0.2617
846,0.1673,0.3073
847,0.1913,0.3058
848,0.2079,0.2896
849,0.2119,0.2826
850,0.1989,0.2661
851,0.1845,0.2557
852,0.1876,0.2356
853,0.193,0.2387
854,0.1853,0.2297
855,0.1459,0.1829
856,0.15,0.1489
857,0.1318,0.1185
858,0.1505,0.1078
859,0.1376,0.0982
860,0.1234,0.0798
861,0.0964,0.0528
862,0.0896,0.0504
863,0.1018,0.0478
864,0.1031,0.0389
865,0.1058,0.0445
866,0.1086,0.0498
867,0.1041,0.0547
868,0.1464,0.0681
869,0.1151,0.068
870,0.1079,0.0494
871,0.1218,0.0515
872,0.1036,0.0522
873,0.1027,0.0502
874,0.0937,0.0537
875,0.0867,0.061
876,0.1286,0.0673
877,0.0829,0.0679
878,0.0815,0.0747
879,0.0692,0.0739
880,0.0647,0.0798
881,0.0689,0.0776
882,0.0617,0.0706
883,0.0721,0.0613
884,0.0685,0.0513
885,0.0978,0.054
886,0.0854,0.0491
887,0.1097,0.0532
888,0.0948,0.0507
889,0.1,0.0555
890,0.1144,0.0686
891,0.1151,0.0793
892,0.1079,0.0879
893,0.0897,0.1146
894,0.0923,0.1671
895,0.1331,0.1774
896,0.0725,0.0979
897,0.0482,0.0814
898,0.0487,0.0826
899,0.0579,0.104
900,0.0678,0.1137
901,0.0896,0.0437
902,0.1772,0.0637
903,0.171,0.0493
904,0.1547,0.0746
905,0.1448,0.0918
906,0.1419,0.0931
907,0.1662,0.1052
908,0.1915,0.1194
909,0.1358,0.1145
910,0.1469,0.0889
911,0.114,0.0739
912,0.1052,0.0628
913,0.0723,0.0473
914,0.0719,0.0438
915,0.052,0.0462
916,0.104,0.0605
917,0.086,0.063
918,0.081,0.0429
919,0.093,0.0469
920,0.093,0.0586
921,0.106,0.0606
922,0.109,0.0643
923,0.094,0.0774
924,0.149,0.1003
925,0.125,0.1326
926,0.172,0.1775
927,0.129,0.15
928,0.137,0.1762
929,0.119,0.1698
930,0.104,0.1636
931,0.083,0.17
932,0.09,0.1775
933,0.099,0.1791
934,0.125,0.1941
935,0.139,0.1916
936,0.129,0.1764
937,0.151,0.1667
938,0.163,0.1548
939,0.137,0.148
940,0.117,0.1486
941,0.133,0.1691
942,0.085,0.2134
943,0.089,0.24
944,0.061,0.2209
945,0.062,0.1622
946,0.051,0.1021
947,0.09,0.1147
948,0.054,0.0719
949,0.049,0.0561
950,0.035,0.0852
951,0.028,0.1008
952,0.026,0.0946
953,0.022,0.0675
954,0.018,0.0497
955,0.021,0.0333
956,0.018,0.0384
957,0.038,0.0405
958,0.044,0.0416
959,0.113,0.0572
960,0.122,0.0517
961,0.128,0.0477
962,0.07,0.0529
963,0.036,0.0616
964,0.041,0.0456
965,0.109,0.0532
966,0.103,0.0653
967,0.092,0.0644
968,0.101,0.0507
969,0.084,0.045
970,0.094,0.0418
971,0.091,0.0431
972,0.115,0.0528
973,0.137,0.0731
974,0.146,0.1155
975,0.163,0.1311
976,0.128,0.1228
977,0.094,0.1222
978,0.071,0.1017
979,0.058,0.0871
980,0.046,0.0825
981,0.052,0.0819
982,0.069,0.0988
983,0.1,0.1088
984,0.075,0.1068
985,0.11,0.1253
986,0.108,0.1471
987,0.105,0.1315
988,0.086,0.1078
989,0.142,0.108
990,0.117,0.1315
991,0.125,0.1826
992,0.128,0.0483
993,0.139,0.0518
994,0.117,0.0455
995,0.121,0.0478
996,0.106,0.0437
997,0.122,0.0516
998,0.13,0.0547
999,0.142,0.0631
1000,0.158,0.0707
1001,0.188,0.087
1002,0.149,0.102
1003,0.166,0.113
1004,0.152,0.1256
1005,0.153,0.147
1006,0.128,0.1227
1007,0.111,0.1032
1008,0.1,0.094
1009,0.091,0.0829
1010,0.135,0.0841
1011,0.125,0.0747
1012,0.127,0.0782
1013,0.126,0.0702
1014,0.177,0.0745
1015,0.151,0.0709
1016,0.155,0.0619
1017,0.13,0.0564
1018,0.116,0.0472
1019,0.125,0.0588
1020,0.138,0.0648
1021,0.166,0.0719
1022,0.136,0.0681
1023,0.103,0.054
1024,0.108,0.0545
1025,0.108,0.0526
1026,0.097,0.0483
1027,0.097,0.0623
1028,0.086,0.0899
1029,0.074,0.118
1030,0.055,0.1242
1031,0.069,0.1743
1032,0.074,0.2243
1033,0.083,0.2445
1034,0.108,0.2832
1035,0.21,0.3066
1036,0.174,0.2845
1037,0.2,0.2977
1038,0.205,0.2744
1039,0.186,0.2457
1040,0.189,0.2342
1041,0.148,0.1659
1042,0.141,0.1132
1043,0.13,0.089
1044,0.093,0.052
1045,0.102,0.048
1046,0.102,0.043
1047,0.107,0.047
1048,0.125,0.0614
1049,0.112,0.0587
1050,0.113,0.0518
1051,0.098,0.0519
1052,0.108,0.0642
1053,0.082,0.0713
1054,0.067,0.0769
1055,0.065,0.0741
1056,0.07,0.0563
1057,0.092,0.0516
1058,0.102,0.052
1059,0.107,0.0621
1060,0.112,0.0836
1061,0.091,0.1409
1062,0.103,0.1377
1063,0.048,0.082
1064,0.063,0.1088
1065,0.09,0.0437
1066,0.174,0.0565
1067,0.15,0.0832
1068,0.154,0.0991
1069,0.164,0.117
1070,0.13,0.0814
1071,0.089,0.0551
1072,0.062,0.045
1073,0.054,0.0453
1074,0.286,0.18
1075,0.312,0.186
1076,0.275,0.193
1077,0.238,0.165
1078,0.233,0.164
1079,0.224,0.13
1080,0.214,0.121
1081,0.217,0.113
1082,0.217,0.115
1083,0.233,0.081
1084,0.199,0.071
1085,0.194,0.064
1086,0.193,0.057
1087,0.199,0.06
1088,0.203,0.049
1089,0.134,0.037
1090,0.172,0.044
1091,0.204,0.058
1092,0.182,0.063
1093,0.182,0.068
1094,0.135,0.07
1095,0.13,0.069
1096,0.149,0.072
1097,0.143,0.071
1098,0.096,0.067
1099,0.147,0.099
1100,0.137,0.094
1101,0.154,0.103
1102,0.137,0.103
1103,0.131,0.103
1104,0.139,0.107
1105,0.156,0.11
1106,0.149,0.115
1107,0.112,0.116
1108,0.11,0.118
1109,0.085,0.032
1110,0.084,0.033
1111,0.079,0.034
1112,0.076,0.029
1113,0.075,0.03
