173,10,,,,,,,,,
H,SO2,NO2,PM10,O3,CO,PM2.5,KSL,Tem,Hum,R
12,0.009,0.05,0.048,0.102,0.545,0.028,0.0564,34.5,54.1,0.13
13,0.009,0.051,0.042,0.096,0.566,0.025,0.0472,34.2,53,0.116
14,0.009,0.087,0.064,0.078,0.807,0.026,0.0588,34.6,54.8,0.125
15,0.008,0.099,0.065,0.079,0.855,0.027,0.0648,34,56.7,0.138
16,0.009,0.087,0.08,0.065,0.857,0.033,0.0719,32.7,61.5,0.166
17,0.008,0.067,0.052,0.045,0.924,0.035,0.0681,30.6,69.4,0.136
18,0.009,0.071,0.038,0.031,0.97,0.023,0.054,28.9,75.4,0.103
19,0.008,0.079,0.03,0.032,0.931,0.015,0.0545,29.2,72.8,0.108
20,0.008,0.075,0.035,0.03,0.768,0.018,0.0526,28.9,71.6,0.108
21,0.008,0.076,0.048,0.025,0.817,0.018,0.0483,29,70.5,0.097
22,0.008,0.066,0.045,0.022,0.801,0.019,0.0623,28,77.7,0.097
23,0.008,0.063,0.039,0.021,0.724,0.027,0.0899,27.7,80.4,0.086
0,0.008,0.049,0.035,0.022,0.746,0.025,0.118,27.2,83.5,0.074
1,0.008,0.04,0.029,0.026,0.896,0.025,0.1242,27.3,85,0.055
2,0.007,0.045,0.029,0.021,0.618,0.027,0.1743,27.3,85.1,0.069
3,0.007,0.045,0.034,0.016,0.602,0.031,0.2243,27.1,86.5,0.074
4,0.007,0.046,0.033,0.015,0.59,0.035,0.2445,27,87.1,0.083
5,0.007,0.044,0.041,0.014,0.581,0.039,0.2832,27.1,86.4,0.108
6,0.008,0.048,0.06,0.014,0.633,0.047,0.3066,27.6,85.3,0.21
7,0.008,0.073,0.078,0.011,0.985,0.046,0.2845,28,84.1,0.174
8,0.009,0.085,0.087,0.013,1.217,0.053,0.2977,29,80.5,0.2
9,0.008,0.097,0.087,0.018,1.314,0.059,0.2744,29.5,77.7,0.205
10,0.008,0.092,0.069,0.04,1.089,0.055,0.2457,30.2,74.7,0.186
11,0.008,0.102,0.067,0.051,1.132,0.055,0.2342,30.6,71.5,0.189
12,0.008,0.074,0.043,0.09,0.916,0.051,0.1659,30.4,71.1,0.148
13,0.008,0.073,0.031,0.097,0.842,0.042,0.1132,30.7,68.7,0.141
14,0.009,0.085,0.038,0.084,0.931,0.034,0.089,31.1,66.7,0.13
15,0.009,0.068,0.021,0.085,0.795,0.026,0.052,31.1,66,0.093
16,0.008,0.084,0.041,0.065,0.856,0.025,0.048,31.5,65,0.102
18,0.009,0.096,0.031,0.046,0.973,0.017,0.043,30.5,67.7,0.102
19,0.008,0.085,0.038,0.058,0.735,0.02,0.047,28.7,74.2,0.107
20,0.008,0.069,0.045,0.053,0.678,0.022,0.0614,27.9,77.1,0.125
21,0.008,0.07,0.034,0.041,0.655,0.017,0.0587,27.6,77.5,0.112
22,0.008,0.058,0.039,0.038,0.605,0.016,0.0518,27.4,79.1,0.113
23,0.007,0.045,0.029,0.036,0.521,0.016,0.0519,27.2,80.4,0.098
1,0.008,0.041,0.038,0.027,0.631,0.012,0.0642,27.3,80.3,0.108
2,0.007,0.035,0.032,0.03,0.477,0.017,0.0713,27.4,80.2,0.082
3,0.007,0.039,0.027,0.024,0.503,0.016,0.0769,26.9,82.7,0.067
4,0.008,0.036,0.019,0.028,0.46,0.016,0.0741,27,82.2,0.065
5,0.009,0.052,0.03,0.023,0.447,0.018,0.0563,27.1,80.3,0.07
6,0.009,0.058,0.038,0.016,0.588,0.018,0.0516,27.2,78.7,0.092
7,0.008,0.059,0.045,0.025,0.605,0.017,0.052,27.7,77,0.102
8,0.008,0.061,0.05,0.027,0.711,0.022,0.0621,28.2,75.9,0.107
9,0.008,0.068,0.064,0.023,0.989,0.026,0.0836,27.9,78.2,0.112
10,0.008,0.075,0.054,0.025,0.961,0.028,0.1409,28.2,81.6,0.091
11,0.008,0.075,0.029,0.028,0.883,0.033,0.1377,27.5,83.8,0.103
12,0.008,0.074,0.016,0.027,0.896,0.03,0.082,25.9,87.2,0.048
13,0.008,0.076,0.033,0.026,0.93,0.024,0.1088,26,87.4,0.063
15,0.008,0.071,0.027,0.029,0.97,0.02,0.0437,27.3,79.8,0.09
16,0.009,0.081,0.068,0.02,1.124,0.019,0.0565,28.1,76,0.174
17,0.009,0.083,0.079,0.02,1.09,0.019,0.0832,28.2,78.9,0.15
18,0.009,0.077,0.076,0.014,1.126,0.026,0.0991,27.8,81.4,0.154
19,0.008,0.058,0.071,0.019,0.715,0.029,0.117,27.7,84,0.164
20,0.008,0.052,0.051,0.016,0.755,0.026,0.0814,27.7,84.7,0.13
21,0.008,0.034,0.033,0.016,0.574,0.023,0.0551,27.6,84.1,0.089
22,0.007,0.024,0.023,0.02,0.591,0.015,0.045,27.3,84.5,0.062
23,0.007,0.019,0.01,0.02,0.343,0.013,0.0453,27.1,84.9,0.054
0,0.007,0.022,0.017,0.018,0.356,0.015,0.0436,27.2,84,0.054
1,0.008,0.024,0.024,0.013,0.47,0.013,0.0485,26.7,87.2,0.033
2,0.008,0.021,0.014,0.015,0.467,0.016,0.0505,26.6,88.2,0.035
3,0.008,0.018,0.011,0.021,0.443,0.01,0.0589,26.5,88.1,0.035
4,0.008,0.03,0.001,0.03,0.406,0.012,0.05,26.1,86.2,0.029
5,0.008,0.042,0.029,0.021,0.413,0.011,0.0544,25.4,88.8,0.031
6,0.008,0.054,0.034,0.009,0.716,0.017,0.0788,25.7,90.2,0.058
7,0.009,0.058,0.039,0.009,0.859,0.02,0.0997,26.3,89.7,0.058
8,0.008,0.063,0.034,0.009,1.051,0.022,0.1042,26.6,89.2,0.052
9,0.008,0.069,0.03,0.012,0.973,0.025,0.0906,26.8,86.2,0.079
10,0.008,0.06,0.043,0.013,1.026,0.021,0.0858,27.4,84.8,0.058
11,0.008,0.046,0.036,0.014,0.891,0.023,0.0787,28.3,83.7,0.059
12,0.008,0.048,0.028,0.018,0.808,0.019,0.0629,28.9,80.8,0.09
13,0.007,0.056,0.037,0.037,0.716,0.016,0.0663,29.4,78.3,0.12
14,0.008,0.061,0.054,0.033,0.809,0.022,0.0687,29.3,77.7,0.12
