424,10,,,,,,,,,
h,so2,no2,co,o3,pm10,pm2_5,Casella,Tem,Hum,Grav
15,9,16,0.5,128,46,27,0.0484,30.2,49.8,0.1239
11,7,54,0.49,90,34,20,0.0605,27.3,55.9,0.104
12,7,64,0.519,96,35,19,0.063,28.2,52.6,0.086
13,7,68,0.53,91,33,18,0.0429,29.2,47.6,0.081
14,7,53,0.515,88,31,19,0.0469,29.1,48.3,0.093
15,7,60,0.655,80,40,18,0.0586,28.3,54.6,0.093
16,7,75,0.687,58,40,22,0.0606,28.1,55.1,0.106
17,8,85,0.797,51,43,13,0.0643,28.3,51,0.109
18,8,101,0.796,39,56,23,0.0774,26.6,61.4,0.094
19,7,92,0.777,35,63,20,0.1003,25.5,69.4,0.149
20,7,74,0.535,40,57,25,0.1326,24.5,75.4,0.125
21,7,80,0.587,40,68,33,0.1775,23.9,77.6,0.172
22,7,59,0.486,46,56,41,0.15,23.2,80,0.129
23,7,46,0.422,53,50,33,0.1762,23.1,82,0.137
0,7,31,0.281,65,40,33,0.1698,23.4,79.5,0.119
1,7,24,0.298,71,38,32,0.1636,22.7,81.8,0.104
2,7,22,0.307,71,38,33,0.17,22.7,82.4,0.083
3,7,23,0.286,74,36,28,0.1775,22.5,83.2,0.09
4,7,30,0.282,68,39,28,0.1791,22.7,82.3,0.099
5,7,48,0.359,48,51,30,0.1941,22.7,82.7,0.125
6,7,61,0.517,41,65,31,0.1916,23.3,81.8,0.139
7,7,64,0.626,42,56,30,0.1764,23.8,80.5,0.129
8,8,81,0.947,29,70,26,0.1667,24.1,81.9,0.151
9,7,79,0.795,31,64,29,0.1548,24.7,79.7,0.163
10,7,71,0.831,34,63,32,0.148,25.3,77.8,0.137
11,7,76,0.788,37,54,34,0.1486,25.2,79.2,0.117
12,7,84,0.929,31,63,32,0.1691,25.1,81.5,0.133
13,7,84,0.873,28,51,37,0.2134,24.9,87.4,0.085
14,7,83,0.915,26,45,39,0.24,24.8,90.2,0.089
15,7,87,1.126,26,38,41,0.2209,24.3,92.9,0.061
16,8,92,1.213,24,33,28,0.1622,23.8,89.6,0.062
17,8,77,1.028,30,24,27,0.1021,23.2,87.8,0.051
18,8,90,1.049,20,35,24,0.1147,22.7,90.4,0.09
19,8,109,0.786,37,20,18,0.0719,21.9,83.6,0.054
20,8,87,0.737,31,38,20,0.0561,20.8,91.4,0.049
21,7,81,0.662,32,31,18,0.0852,20.2,98.9,0.035
22,7,75,0.665,38,25,26,0.1008,20.6,98.5,0.028
23,7,67,0.65,52,22,14,0.0946,20.2,98.6,0.026
0,7,40,0.412,86,15,13,0.0675,19.7,96.8,0.022
1,7,29,0.362,90,13,14,0.0497,19.8,90.2,0.018
2,7,20,0.279,104,15,10,0.0333,19.5,89.4,0.021
3,7,19,0.267,103,14,6,0.0384,19.3,92.4,0.018
4,7,38,0.295,86,19,7,0.0405,19.9,90.6,0.038
5,7,49,0.299,74,24,8,0.0416,20,92.6,0.044
6,7,88,0.464,27,43,11,0.0572,20.5,91.1,0.113
7,7,91,0.614,29,52,13,0.0517,21.2,88.3,0.122
8,7,93,0.717,33,59,14,0.0477,21.6,87.4,0.128
9,7,92,0.746,36,41,17,0.0529,21.1,96,0.07
10,7,89,0.781,32,27,21,0.0616,21,99.8,0.036
11,7,78,0.674,66,21,16,0.0456,22.3,91.3,0.041
12,7,82,0.74,59,45,13,0.0532,23,84.5,0.109
13,7,82,0.682,51,47,19,0.0653,23.1,86,0.103
14,7,77,0.757,66,40,17,0.0644,24.6,77.8,0.092
15,7,80,0.677,67,38,13,0.0507,25.1,71.2,0.101
16,7,83,0.771,64,41,19,0.045,24.9,51.5,0.084
17,7,88,0.799,60,45,19,0.0418,25.6,59.4,0.094
18,7,81,0.711,63,51,13,0.0431,24.8,68.7,0.091
19,7,88,0.653,57,62,13,0.0528,23.4,74.9,0.115
20,7,86,0.689,51,61,18,0.0731,23,79,0.137
21,8,94,0.744,36,72,23,0.1155,22.8,81.1,0.146
22,8,82,0.634,49,68,26,0.1311,22.5,82.6,0.163
23,8,77,0.592,48,54,28,0.1228,17.1,85.7,0.128
0,7,45,0.415,69,41,25,0.1222,21.7,88.1,0.094
1,7,35,0.378,83,32,21,0.1017,21.9,88.3,0.071
2,7,24,0.302,91,29,16,0.0871,22.1,88.1,0.058
3,7,21,0.269,96,23,15,0.0825,22.2,88.3,0.046
4,7,30,0.282,87,23,15,0.0819,21.7,88.2,0.052
5,7,47,0.304,68,29,19,0.0988,22.4,89.4,0.069
6,7,62,0.423,51,41,22,0.1088,22.7,89.5,0.1
7,7,58,0.445,58,37,22,0.1068,23.1,89.7,0.075
8,7,78,0.67,41,43,21,0.1253,23.7,88.7,0.11
9,7,61,0.606,60,48,23,0.1471,24.6,85.8,0.108
10,7,56,0.58,64,43,27,0.1315,25.9,80.5,0.105
11,7,59,0.555,78,39,26,0.1078,26.9,76.5,0.086
12,7,81,0.699,52,56,27,0.108,26.3,82.1,0.142
13,7,71,0.653,60,52,32,0.1315,25.5,87,0.117
14,7,57,0.591,68,54,33,0.1826,25,89.8,0.125
11,8,56,0.529,92,49,19,0.0483,35.5,51.3,0.128
12,8,45,0.441,115,40,25,0.0518,35.9,50.1,0.139
13,8,46,0.474,119,42,26,0.0455,36.1,49.5,0.117
14,8,63,0.532,117,47,25,0.0478,36.6,49.2,0.121
15,8,70,0.54,110,43,24,0.0437,36.6,48.5,0.106
16,8,109,1.087,84,57,24,0.0516,36.3,50.4,0.122
17,9,116,1.088,73,56,27,0.0547,36.4,51.1,0.13
18,8,108,1.078,75,60,29,0.0631,35.9,52.3,0.142
19,8,132,1.066,56,82,29,0.0707,35,55.7,0.158
20,8,89,0.756,111,93,36,0.087,33.1,63.6,0.188
